Consonants 輔音
b, d, f, h, k, l, m, n, p, r, s, t, v, w, z

ɡ   get /ɡɛt/
tʃ  chip /tʃɪp/
dʒ  jar /dʒɑː/
x   loch /lɒx/
ŋ   ring /rɪŋ/
θ   thin /θɪn/
ð   this /ðɪs/
ʃ   she /ʃiː/
ʒ   decision /dɪˈsɪʒ(ə)n/
j   yes /jɛs/

Vowels 母音
a,æ	cat /kat/
ə  	ago /əˈɡəʊ/
ʌ,ɑ run /rʌn/
ɒ   hot /hɒt/
ɛ   bed /bɛd/
ɪ	sit /sɪt/
i	cosy /ˈkəʊzi/
ɔ   saw /sɔː/
ʊ   put /pʊt/
u   too /tuː/
ʌɪ	my /mʌɪ/
aʊ  how /haʊ/
eɪ	day /deɪ/
əʊ	no /nəʊ/
ɪə	near /nɪə/
ɔɪ	boy /bɔɪ/
ʊə	poor /pʊə/

ˈ is used to show that the following syllable is stressed
ˌ indicates a secondary stress
